id,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,red_card,wins,yellow_card,own_goals
1655,8,5.0,0.0,1.0,1.0,1.0,2.0,,2.0,,
424,8,34.0,9.0,9.0,1.0,,10.0,1.0,15.0,11.0,
1156,8,16.0,2.0,1.0,1.0,1.0,9.0,,6.0,2.0,
1392,8,19.0,1.0,4.0,,,11.0,,4.0,4.0,1.0
1735,8,11.0,3.0,5.0,,,3.0,,3.0,2.0,
936,8,11.0,2.0,,,,9.0,,2.0,1.0,
530,8,13.0,0.0,4.0,,,5.0,,4.0,1.0,
1564,8,,,,,,,,,,
1823,8,1.0,0.0,,,,1.0,,,,
1772,8,5.0,0.0,1.0,,1.0,2.0,,2.0,,
937,8,26.0,8.0,9.0,,1.0,8.0,,9.0,5.0,
1694,8,,,,,,,,,,
1105,8,,,,,,,,,,
57,8,2.0,0.0,1.0,,1.0,1.0,,,1.0,
1397,8,,,,,,,,,,
783,8,3.0,1.0,,,,1.0,,2.0,1.0,
1118,8,37.0,5.0,12.0,4.0,5.0,18.0,1.0,7.0,8.0,
877,8,23.0,4.0,6.0,6.0,1.0,7.0,,10.0,1.0,
1792,8,12.0,0.0,1.0,1.0,,8.0,,3.0,,
1635,8,25.0,5.0,8.0,1.0,2.0,8.0,2.0,9.0,6.0,
1222,8,29.0,7.0,8.0,2.0,1.0,13.0,1.0,8.0,6.0,
519,8,29.0,4.0,5.0,,,11.0,,13.0,1.0,
200,8,11.0,3.0,2.0,,,4.0,,5.0,,
1086,8,,,,,,,,,,
8615,8,,,,,,,,,,
349,8,27.0,7.0,8.0,,1.0,10.0,,9.0,6.0,
45,8,,,,,,,,,,
1532,8,25.0,10.0,9.0,,3.0,5.0,,11.0,4.0,
1538,8,,,,,,,,,,
10245,8,,,,,,,,,,
1718,8,6.0,2.0,,2.0,1.0,,,6.0,,
462,8,9.0,0.0,3.0,2.0,,3.0,,3.0,3.0,
1765,8,1.0,0.0,,,,1.0,,,,
1628,8,27.0,5.0,5.0,,2.0,11.0,,11.0,9.0,
46,8,26.0,5.0,7.0,1.0,2.0,12.0,,7.0,5.0,
388,8,3.0,0.0,,,,1.0,,2.0,1.0,
1476,8,9.0,0.0,1.0,,,7.0,,1.0,1.0,
87,8,20.0,2.0,7.0,2.0,,4.0,,9.0,,
1420,8,2.0,1.0,1.0,,,,,1.0,,
1737,8,5.0,0.0,2.0,,,2.0,,1.0,,
1804,8,,,,,,,,,,
1699,8,8.0,0.0,2.0,1.0,,3.0,1.0,3.0,2.0,
1220,8,6.0,0.0,1.0,,,4.0,,1.0,,
321,8,22.0,6.0,4.0,,3.0,1.0,,17.0,,
1739,8,6.0,0.0,3.0,1.0,,1.0,,2.0,,
401,8,14.0,1.0,5.0,1.0,,5.0,,4.0,1.0,
1586,8,8.0,0.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,
416,8,34.0,9.0,13.0,,,12.0,,9.0,3.0,
809,8,36.0,4.0,12.0,7.0,4.0,17.0,,7.0,2.0,
