id,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,wins,yellow_card,own_goals,red_card
151,9,20.0,3.0,7.0,1.0,2.0,9.0,4.0,2.0,,
1586,9,14.0,1.0,4.0,,1.0,7.0,3.0,2.0,,
1736,9,19.0,3.0,4.0,1.0,1.0,8.0,7.0,4.0,,
335,9,31.0,7.0,7.0,5.0,8.0,6.0,18.0,1.0,,
1144,9,19.0,2.0,6.0,,1.0,9.0,4.0,2.0,,
1888,9,,,,,,,,,,
1938,9,26.0,2.0,8.0,6.0,,13.0,5.0,1.0,,
1939,9,2.0,0.0,,,,1.0,1.0,,,
1886,9,32.0,4.0,9.0,2.0,2.0,15.0,8.0,7.0,,1.0
1253,9,36.0,13.0,12.0,1.0,2.0,9.0,15.0,5.0,,1.0
1738,9,,,,,,,,,,
1605,9,9.0,1.0,3.0,,,3.0,3.0,1.0,,
1544,9,,,,,,,,,,
1429,9,7.0,1.0,1.0,,1.0,1.0,5.0,1.0,,
1437,9,19.0,0.0,5.0,,,8.0,6.0,2.0,,
1919,9,6.0,2.0,2.0,,,,4.0,2.0,,
1297,9,30.0,8.0,7.0,1.0,2.0,5.0,18.0,4.0,,1.0
1866,9,30.0,3.0,7.0,10.0,6.0,10.0,13.0,,,
1863,9,14.0,2.0,3.0,1.0,1.0,4.0,7.0,2.0,,
1990,9,3.0,0.0,,,,3.0,,,,
1493,9,,,,,,,,,,
1685,9,,,,,,,,,,
1876,9,10.0,0.0,2.0,1.0,,5.0,3.0,1.0,,
1201,9,28.0,3.0,3.0,1.0,3.0,15.0,10.0,1.0,,
1349,9,17.0,0.0,2.0,3.0,1.0,10.0,5.0,,,
181,9,29.0,3.0,6.0,5.0,3.0,14.0,9.0,7.0,1.0,
1688,9,29.0,3.0,8.0,6.0,3.0,16.0,5.0,1.0,,1.0
860,9,21.0,4.0,5.0,,,11.0,5.0,2.0,,
1910,9,,,,,,,,,,
423,9,13.0,3.0,4.0,,,7.0,2.0,,1.0,
938,9,35.0,4.0,9.0,3.0,1.0,18.0,8.0,6.0,,
1829,9,,,,,,,,,,
1595,9,30.0,9.0,9.0,2.0,3.0,7.0,14.0,5.0,,1.0
1045,9,29.0,9.0,7.0,7.0,6.0,4.0,18.0,1.0,,
1986,9,,,,,,,,,,
1147,9,10.0,1.0,4.0,,,3.0,3.0,1.0,,
1753,9,,,,,,,,,,
1573,9,3.0,0.0,1.0,,,1.0,1.0,,,
1231,9,,,,,,,,,,
1358,9,15.0,2.0,4.0,,,8.0,3.0,,,
75,9,2.0,0.0,,,,1.0,1.0,,,
844,9,12.0,4.0,4.0,6.0,,5.0,3.0,4.0,,
848,9,32.0,4.0,14.0,6.0,5.0,8.0,10.0,3.0,,2.0
1335,9,32.0,11.0,8.0,,,8.0,16.0,3.0,,
639,9,12.0,1.0,3.0,,,6.0,3.0,1.0,,
1426,9,26.0,4.0,10.0,,1.0,11.0,5.0,3.0,,
1659,9,35.0,10.0,10.0,17.0,9.0,6.0,19.0,4.0,,
92,9,,,,,,,,,,
1724,9,1.0,0.0,,,,,1.0,,,
1840,9,1.0,0.0,,,,1.0,,,,
1638,9,,,,,,,,,,
1898,9,38.0,13.0,6.0,3.0,5.0,12.0,20.0,,,
1678,9,,,,,,,,,,
