id,year_id,appearances,clean_sheet,draws,goals,losses,wins,goal_assist,yellow_card,own_goals,red_card
2128,14,13.0,1.0,2.0,1.0,4.0,7.0,1.0,,,
3026,14,37.0,10.0,6.0,2.0,16.0,15.0,3.0,6.0,1.0,
2783,14,,,,,,,,,,
2872,14,,,,,,,,,,
1553,14,6.0,0.0,2.0,,3.0,1.0,,,,
2907,14,15.0,1.0,2.0,,7.0,6.0,,4.0,,
2723,14,33.0,4.0,6.0,9.0,5.0,22.0,1.0,3.0,,
2339,14,7.0,0.0,1.0,,6.0,,,,,
3011,14,2.0,0.0,,,1.0,1.0,,,,
1851,14,11.0,3.0,3.0,2.0,6.0,2.0,1.0,,,
723,14,22.0,2.0,5.0,1.0,6.0,11.0,1.0,4.0,,
961,14,15.0,3.0,4.0,,8.0,3.0,,4.0,1.0,
2413,14,7.0,2.0,2.0,,1.0,4.0,,2.0,,
3005,14,,,,,,,,,,
1146,14,31.0,9.0,8.0,1.0,17.0,6.0,,4.0,,
2923,14,,,,,,,,,,
2951,14,,,,,,,,,,
2627,14,,,,,,,,,,
2950,14,1.0,0.0,,,1.0,,,,,
2836,14,,,,,,,,,,
2847,14,8.0,0.0,1.0,,4.0,3.0,1.0,2.0,,
1494,14,11.0,4.0,1.0,,2.0,8.0,,3.0,,
2082,14,,,,,,,,,,
2522,14,33.0,6.0,7.0,9.0,5.0,21.0,6.0,8.0,,1.0
2742,14,,,,,,,,,,
2729,14,21.0,1.0,2.0,1.0,15.0,4.0,1.0,1.0,,
2889,14,,,,,,,,,,
1676,14,4.0,2.0,,,1.0,3.0,,,,
2962,14,13.0,1.0,3.0,1.0,4.0,6.0,2.0,,,
2457,14,30.0,1.0,4.0,10.0,3.0,23.0,1.0,1.0,,
972,14,31.0,7.0,8.0,,16.0,7.0,,5.0,,1.0
1629,14,32.0,2.0,6.0,8.0,6.0,20.0,5.0,4.0,,
2732,14,,,,,,,,,,
2162,14,12.0,6.0,3.0,2.0,2.0,7.0,,4.0,,
394,14,13.0,3.0,4.0,,5.0,4.0,1.0,,,
2614,14,,,,,,,,,,
2531,14,3.0,0.0,,,2.0,1.0,,1.0,,
2985,14,18.0,1.0,5.0,1.0,12.0,1.0,,,,
2817,14,,,,,,,,,,
929,14,18.0,3.0,3.0,1.0,9.0,6.0,,6.0,,
3025,14,2.0,0.0,,,2.0,,,,,
1163,14,22.0,0.0,3.0,,8.0,11.0,1.0,4.0,,
