id,year_id,appearances,clean_sheet,draws,losses,wins,goals,goal_assist,yellow_card,own_goals,red_card
2415,12,13.0,0.0,5.0,,8.0,2.0,1.0,,,
469,12,,,,,,,,,,
1193,12,38.0,8.0,6.0,19.0,13.0,,,,,
1082,12,,,,,,,,,,
1621,12,4.0,0.0,1.0,,3.0,,,,,
1404,12,36.0,3.0,8.0,20.0,8.0,,,1.0,,1.0
2560,12,7.0,0.0,1.0,5.0,1.0,,,,,
2385,12,10.0,0.0,1.0,8.0,1.0,1.0,,,,
2477,12,,,,,,,,,,
1958,12,,,,,,,,,,
2516,12,32.0,12.0,4.0,8.0,20.0,,1.0,,,
2497,12,,,,,,,,,,
2170,12,,,,,,,,,,
1710,12,38.0,15.0,12.0,10.0,16.0,4.0,,1.0,1.0,
2260,12,8.0,1.0,3.0,5.0,,2.0,,,,
2427,12,,,,,,,,,,
2208,12,38.0,10.0,11.0,13.0,14.0,4.0,1.0,9.0,,
960,12,25.0,10.0,11.0,8.0,6.0,,1.0,,,
1359,12,6.0,1.0,3.0,1.0,2.0,,,1.0,,
670,12,30.0,9.0,11.0,13.0,6.0,2.0,14.0,8.0,,
2055,12,,,,,,,,,,
